pair_id,category_claim,versions_locatable,license_clear,citation_range_exists,actor_view_generated,ready,blocker,split,cited_path,local_catalog_key
r01-pair-01,conventional,yes,yes,yes,yes,yes,,dev_pilot,pgjdbc/src/main/java/org/postgresql/core/v3/SimpleParameterList.java,ghsa-24rp-q3w6-vc56
r01-pair-02,conventional,yes,no,yes,no,no,license_unclear,dev_pilot,spring-webmvc/src/main/java/org/springframework/web/servlet/ResourceServlet.java,ghsa-2m8h-fgr8-2q9w
r01-pair-03,conventional,yes,yes,yes,no,no,,dev_pilot,docs/documentation/release_notes/index.adoc,ghsa-3p62-6fjh-3p5h
r01-pair-04,conventional,yes,yes,yes,no,no,,dev_pilot,main/src/edu/mit/simile/butterfly/ButterflyModuleImpl.java,ghsa-3p8v-w8mr-m3x8
r01-pair-05,conventional,yes,yes,yes,no,no,,dev_pilot,activemq-broker/src/main/java/org/apache/activemq/broker/TransportConnection.java,ghsa-3wfj-vh84-732p
r01-pair-06,conventional,yes,yes,yes,no,no,,dev_pilot,build.xml,ghsa-4jx2-hvqw-93j9
r01-pair-07,conventional,yes,yes,yes,no,no,,dev_pilot,src/main/java/org/ohdsi/webapi/service/FeatureExtractionService.java,ghsa-2chv-87wj-pjv2
r01-pair-08,conventional,yes,yes,yes,no,no,,dev_pilot,graylog2-server/src/main/java/org/graylog2/rest/resources/system/debug/bundle/SupportBundleService.java,ghsa-2q4p-f6gf-mqr5
r01-pair-09,conventional,yes,yes,yes,no,no,,dev_pilot,src/main/java/org/owasp/validator/html/scan/AntiSamyDOMScanner.java,ghsa-3pqg-4rqg-pg9g
r01-pair-10,conventional,yes,no,yes,no,no,license_unclear,dev_pilot,pom.xml,ghsa-4m7p-55jm-3vwv
r01-pair-11,conventional,yes,no,yes,no,no,license_unclear,dev_pilot,src/main/java/hudson/tasks/junit/SuiteResult.java,ghsa-4rj6-9pjh-882r
r01-pair-12,conventional,yes,yes,yes,yes,yes,,dev_pilot,rt/rs/description/src/main/java/org/apache/cxf/jaxrs/model/wadl/WadlGenerator.java,ghsa-5m3j-pxh7-455p
r01-pair-13,logic_authorization_claim,yes,yes,yes,no,no,obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,src/main/java/hudson/plugins/favorite/FavoritePlugin.java,ghsa-268v-2qq7-84pf
r01-pair-14,logic_authorization_claim,yes,yes,yes,no,no,obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,core/src/main/java/jenkins/model/Jenkins.java,ghsa-3297-944x-j7x7
r01-pair-15,logic_authorization_claim,yes,yes,yes,no,no,obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,bundles/org.openhab.ui.cometvisu/src/main/java/org/openhab/ui/cometvisu/internal/ManagerSettings.java,ghsa-3g4c-hjhr-73rj
r01-pair-16,logic_authorization_claim,yes,no,yes,no,no,license_unclear;obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,modules/apps/change-tracking/change-tracking-web/src/main/java/com/liferay/change/tracking/web/internal/portlet/action/EditCTCollectionMVCRenderCommand.java,ghsa-2hfj-jv6q-762v
r01-pair-17,logic_authorization_claim,yes,yes,yes,no,no,obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,xwiki-rendering-transformations/xwiki-rendering-transformation-macro/src/main/java/org/xwiki/rendering/internal/macro/DefaultMacroContentParser.java,ghsa-32mf-57h2-64x9
r01-pair-18,logic_authorization_claim,yes,no,yes,no,no,license_unclear;obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,src/main/java/com/microsoft/azure/vmagent/AzureVMAgentTemplate.java,ghsa-3hg6-c7f8-3348
r01-pair-19,logic_authorization_claim,yes,yes,yes,no,no,obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,nifi-nar-bundles/nifi-framework-bundle/nifi-framework/nifi-web/nifi-web-api/src/main/java/org/apache/nifi/web/NiFiWebApiSecurityConfiguration.java,ghsa-3jq8-jg75-rqv6
r01-pair-20,logic_authorization_claim,yes,yes,no,no,no,citation_range_missing;obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,,ghsa-4hfp-m9gv-m753
r01-pair-21,logic_authorization_claim,yes,yes,yes,no,no,obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/security/OzoneDelegationTokenSecretManager.java,ghsa-5993-wwpg-m92c
r01-pair-22,logic_authorization_claim,yes,yes,yes,no,no,obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,artemis-server/src/main/java/org/apache/activemq/artemis/core/server/impl/ServerSessionImpl.java,ghsa-3w85-5p9g-h334
r01-pair-23,logic_authorization_claim,yes,yes,yes,no,no,obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,examples/src/main/java/org/apache/ignite/examples/ml/sql/DecisionTreeClassificationTrainerSQLInferenceExample.java,ghsa-5wm5-8q42-rhxg
r01-pair-24,logic_authorization_claim,yes,yes,yes,no,no,obligation_basis_generic_or_missing;logic_not_confirmed_by_cwe_or_generic_template,dev_pilot,bonita-integration-tests/bonita-integration-tests-local/src/main/resources/MyRule,ghsa-76v2-48w6-crxr
