path,decision,reason,base_sha,replacement_path,verification,rollback_note
src/egsi,keep,Existing EGSI prototype still parses cases and isolates policy/oracle views; R01 adds sbs beside it.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,,present_at_base,Restore path from base SHA 18458b2cceaeef3cd18c8b455b1f0724d50d94c9
tests,keep,Pre-existing pytest suite retained; R01 only added tests/sbs. No failing tests were deleted.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,tests/sbs,collect_1377_kept_egsi_pass,Restore path from base SHA; reverse R01 implementation commits
idea-stage,keep,Prototype specs remain the EGSI engineering source of truth.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,,present_at_base,Restore path from base SHA 18458b2cceaeef3cd18c8b455b1f0724d50d94c9
paper-stage,archive_reference,ICLR paper narrative is the previous venue track; not the R01 NAACL entry.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,plans/ROADMAP_NAACL2027.md,left_in_tree,Restore path from base SHA 18458b2cceaeef3cd18c8b455b1f0724d50d94c9
configs,adapt,Existing provider/pilot configs kept; added configs/r01_smoke.json.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,configs/r01_smoke.json,r01_smoke_present,Restore configs from base SHA; reverse R01 implementation commits
scripts,defer_unknown,Native signer and locked-launcher scripts were not re-verified for SBS; left unused by R01 CLI.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,,not_wired_to_sbs,Restore path from base SHA 18458b2cceaeef3cd18c8b455b1f0724d50d94c9
docs,adapt,Existing pragmatic/native-trust docs deferred; added R01 contract/protocol docs.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,docs/r01_research_contract.md,r01_docs_present,Restore docs from base SHA; reverse R01 implementation commits
evidence_guided_security_investigation_agent_design.md,archive_reference,Historical EGSI design snapshot; not the R01 runtime entry.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,docs/r01_research_contract.md,left_in_tree,Restore file from base SHA 18458b2cceaeef3cd18c8b455b1f0724d50d94c9
MANIFEST.md,keep,Research artifact index for earlier EGSI/ARIS work.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,,present_at_base,Restore file from base SHA 18458b2cceaeef3cd18c8b455b1f0724d50d94c9
AGENTS.md,adapt,Merged NAACL/SBS R01 rules without dropping EGSI/ICLR prototype routing.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,,egsi_rules_retained,Restore file from base SHA; reverse R01 implementation commits
pyproject.toml,adapt,Registered sbs console script and package next to egsi.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,,sbs_script_present,Restore file from base SHA; reverse R01 implementation commits
.gitignore,adapt,Ignored local_data/ and artifacts/; kept /data ignore.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,,local_data_ignored,Restore file from base SHA; reverse R01 implementation commits
src/sbs,adapt,New R01 package: schema isolation replay CLI.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,src/sbs,pytest_sbs_pass,Delete src/sbs or reverse R01 implementation commits
fixtures/r01,adapt,Synthetic payload-free fixtures for four replay endings.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,fixtures/r01,replay_four_terminals,Delete fixtures/r01 or reverse R01 implementation commits
metadata,adapt,Real locators from local EGSI catalog; no fabricated hashes.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,metadata/r01_candidates.jsonl,validate_registry_pass,Delete metadata/r01_* or reverse R01 implementation commits
plans,adapt,R01 execution plan copy and NAACL roadmap.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,plans/rounds/R01.md,plan_present,Delete plans/ or reverse R01 implementation commits
README.md,adapt,Repository had no README at base; added R01/EGSI entry.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,README.md,readme_present,Delete README.md or reverse R01 implementation commits
data,keep,Gitignored local catalog/git cache used for static checks; not committed.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,local_data/,catalog_present_local,Local volume only; not in git history
R01_NAACL2027_EXECUTION_PLAN.md,defer_unknown,User untracked copy left untracked; content copied to plans/rounds/R01.md and not packed into R01 commits.,18458b2cceaeef3cd18c8b455b1f0724d50d94c9,plans/rounds/R01.md,untracked_not_committed,Leave untracked; do not git add
